Sample_ID,Feldstaerke,Objekt,Traeger,Mode,Farbe_ID,Replikat,Kategorie_Pigment,Hersteller,Produktname,Inhaltsstoffe
15T_phantom_mode1_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,T2-TSE,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode1_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,T2-TSE,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode1_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,T2-TSE,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,SWI,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,SWI,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode2_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,SWI,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_lashes_rep2,1.5 Tesla,Phantom,Wimpern,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,2,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode3_color1_lashes_rep3,1.5 Tesla,Phantom,Wimpern,T1-FLD2,The Colossal Go Extreme Waterproof Mascara,3,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
15T_phantom_mode4_color1_lashes_rep1,1.5 Tesla,Phantom,Wimpern,T2-TIRM,The Colossal Go Extreme Waterproof Mascara,1,Kosmetik,Maybelline New York,The Colossal Go Extreme! Volum’ Waterproof Mascara,"Ultramarines, Mica, CI 77891 (Titanium Dioxide), CI 75470 (Carmine), CI 77288 (Chromium Oxide Greens), CI 77289 (Chromium Hydroxide Green), CI 77742 (Manganese Violet), CI 77510 (Ferric Ferrocyanide)"
